system_id,system_name,system_level,project_id
SYS‑S‑NOR001,一般业务系统‑S‑NOR001,一般,PJ‑S‑NOR001
SYS‑S‑NOR002,核心业务系统‑S‑NOR002,核心,PJ‑S‑NOR002
SYS‑S‑NOR003,重要业务系统‑S‑NOR003,重要,PJ‑S‑NOR003
SYS‑S‑NOR004,核心业务系统‑S‑NOR004,核心,PJ‑S‑NOR004
SYS‑S‑NOR005,核心业务系统‑S‑NOR005,核心,PJ‑S‑NOR005
SYS‑S‑NOR006,一般业务系统‑S‑NOR006,一般,PJ‑S‑NOR006
SYS‑S‑NOR007,重要业务系统‑S‑NOR007,重要,PJ‑S‑NOR007
SYS‑S‑NOR008,一般业务系统‑S‑NOR008,一般,PJ‑S‑NOR008
SYS‑S‑NOR009,核心业务系统‑S‑NOR009,核心,PJ‑S‑NOR009
SYS‑S‑NOR010,重要业务系统‑S‑NOR010,重要,PJ‑S‑NOR010
SYS‑S‑NOR011,一般业务系统‑S‑NOR011,一般,PJ‑S‑NOR011
SYS‑S‑NOR012,核心业务系统‑S‑NOR012,核心,PJ‑S‑NOR012
SYS‑S‑NOR013,核心业务系统‑S‑NOR013,核心,PJ‑S‑NOR013
SYS‑S‑NOR014,一般业务系统‑S‑NOR014,一般,PJ‑S‑NOR014
SYS‑S‑NOR015,核心业务系统‑S‑NOR015,核心,PJ‑S‑NOR015
SYS‑S‑NOR016,一般业务系统‑S‑NOR016,一般,PJ‑S‑NOR016
SYS‑S‑NOR017,重要业务系统‑S‑NOR017,重要,PJ‑S‑NOR017
SYS‑S‑NOR018,核心业务系统‑S‑NOR018,核心,PJ‑S‑NOR018
SYS‑S‑NOR019,一般业务系统‑S‑NOR019,一般,PJ‑S‑NOR019
SYS‑S‑NOR020,核心业务系统‑S‑NOR020,核心,PJ‑S‑NOR020
SYS‑S‑NOR021,核心业务系统‑S‑NOR021,核心,PJ‑S‑NOR021
SYS‑S‑NOR022,重要业务系统‑S‑NOR022,重要,PJ‑S‑NOR022
SYS‑S‑NOR023,核心业务系统‑S‑NOR023,核心,PJ‑S‑NOR023
SYS‑S‑NOR024,重要业务系统‑S‑NOR024,重要,PJ‑S‑NOR024
SYS‑S‑NOR025,重要业务系统‑S‑NOR025,重要,PJ‑S‑NOR025
SYS‑S‑NOR026,一般业务系统‑S‑NOR026,一般,PJ‑S‑NOR026
SYS‑S‑NOR027,一般业务系统‑S‑NOR027,一般,PJ‑S‑NOR027
SYS‑S‑NOR028,一般业务系统‑S‑NOR028,一般,PJ‑S‑NOR028
SYS‑S‑NOR029,一般业务系统‑S‑NOR029,一般,PJ‑S‑NOR029
SYS‑S‑NOR030,一般业务系统‑S‑NOR030,一般,PJ‑S‑NOR030
SYS‑S‑NOR031,一般业务系统‑S‑NOR031,一般,PJ‑S‑NOR031
SYS‑S‑NOR032,核心业务系统‑S‑NOR032,核心,PJ‑S‑NOR032
SYS‑S‑NOR033,一般业务系统‑S‑NOR033,一般,PJ‑S‑NOR033
SYS‑S‑NOR034,重要业务系统‑S‑NOR034,重要,PJ‑S‑NOR034
SYS‑S‑NOR035,重要业务系统‑S‑NOR035,重要,PJ‑S‑NOR035
SYS‑S‑NOR036,一般业务系统‑S‑NOR036,一般,PJ‑S‑NOR036
SYS‑S‑NOR037,重要业务系统‑S‑NOR037,重要,PJ‑S‑NOR037
SYS‑S‑NOR038,一般业务系统‑S‑NOR038,一般,PJ‑S‑NOR038
SYS‑S‑NOR039,核心业务系统‑S‑NOR039,核心,PJ‑S‑NOR039
SYS‑S‑NOR040,重要业务系统‑S‑NOR040,重要,PJ‑S‑NOR040
SYS‑S‑NOR041,一般业务系统‑S‑NOR041,一般,PJ‑S‑NOR041
SYS‑S‑NOR042,重要业务系统‑S‑NOR042,重要,PJ‑S‑NOR042
SYS‑S‑NOR043,核心业务系统‑S‑NOR043,核心,PJ‑S‑NOR043
SYS‑S‑NOR044,核心业务系统‑S‑NOR044,核心,PJ‑S‑NOR044
SYS‑S‑NOR045,核心业务系统‑S‑NOR045,核心,PJ‑S‑NOR045
SYS‑S‑NOR046,一般业务系统‑S‑NOR046,一般,PJ‑S‑NOR046
SYS‑S‑NOR047,重要业务系统‑S‑NOR047,重要,PJ‑S‑NOR047
SYS‑S‑NOR048,一般业务系统‑S‑NOR048,一般,PJ‑S‑NOR048
SYS‑S‑NOR049,一般业务系统‑S‑NOR049,一般,PJ‑S‑NOR049
