contract_id,supplier_id,start_week,end_week,contract_importance
CT‑S‑NOR001,S‑NOR001,1,52,一般外包
CT‑S‑NOR002,S‑NOR002,1,52,重要外包
CT‑S‑NOR003,S‑NOR003,1,52,重要外包
CT‑S‑NOR004,S‑NOR004,1,52,重要外包
CT‑S‑NOR005,S‑NOR005,1,52,重要外包
CT‑S‑NOR006,S‑NOR006,1,52,一般外包
CT‑S‑NOR007,S‑NOR007,1,52,重要外包
CT‑S‑NOR008,S‑NOR008,1,52,一般外包
CT‑S‑NOR009,S‑NOR009,1,52,重要外包
CT‑S‑NOR010,S‑NOR010,1,52,重要外包
CT‑S‑NOR011,S‑NOR011,1,52,一般外包
CT‑S‑NOR012,S‑NOR012,1,52,重要外包
CT‑S‑NOR013,S‑NOR013,1,52,重要外包
CT‑S‑NOR014,S‑NOR014,1,52,一般外包
CT‑S‑NOR015,S‑NOR015,1,52,重要外包
CT‑S‑NOR016,S‑NOR016,1,52,一般外包
CT‑S‑NOR017,S‑NOR017,1,52,重要外包
CT‑S‑NOR018,S‑NOR018,1,52,重要外包
CT‑S‑NOR019,S‑NOR019,1,52,一般外包
CT‑S‑NOR020,S‑NOR020,1,52,重要外包
CT‑S‑NOR021,S‑NOR021,1,52,重要外包
CT‑S‑NOR022,S‑NOR022,1,52,重要外包
CT‑S‑NOR023,S‑NOR023,1,52,重要外包
CT‑S‑NOR024,S‑NOR024,1,52,重要外包
CT‑S‑NOR025,S‑NOR025,1,52,重要外包
CT‑S‑NOR026,S‑NOR026,1,52,一般外包
CT‑S‑NOR027,S‑NOR027,1,52,一般外包
CT‑S‑NOR028,S‑NOR028,1,52,一般外包
CT‑S‑NOR029,S‑NOR029,1,52,一般外包
CT‑S‑NOR030,S‑NOR030,1,52,一般外包
CT‑S‑NOR031,S‑NOR031,1,52,一般外包
CT‑S‑NOR032,S‑NOR032,1,52,重要外包
CT‑S‑NOR033,S‑NOR033,1,52,一般外包
CT‑S‑NOR034,S‑NOR034,1,52,重要外包
CT‑S‑NOR035,S‑NOR035,1,52,重要外包
CT‑S‑NOR036,S‑NOR036,1,52,一般外包
CT‑S‑NOR037,S‑NOR037,1,52,重要外包
CT‑S‑NOR038,S‑NOR038,1,52,一般外包
CT‑S‑NOR039,S‑NOR039,1,52,重要外包
CT‑S‑NOR040,S‑NOR040,1,52,重要外包
CT‑S‑NOR041,S‑NOR041,1,52,一般外包
CT‑S‑NOR042,S‑NOR042,1,52,重要外包
CT‑S‑NOR043,S‑NOR043,1,52,重要外包
CT‑S‑NOR044,S‑NOR044,1,52,重要外包
CT‑S‑NOR045,S‑NOR045,1,52,重要外包
CT‑S‑NOR046,S‑NOR046,1,52,一般外包
CT‑S‑NOR047,S‑NOR047,1,52,重要外包
CT‑S‑NOR048,S‑NOR048,1,52,一般外包
CT‑S‑NOR049,S‑NOR049,1,52,一般外包
CT‑S‑NOR050,S‑NOR050,1,52,重要外包
CT‑S‑NOR051,S‑NOR051,1,52,重要外包
CT‑S‑NOR052,S‑NOR052,1,52,重要外包
CT‑S‑NOR053,S‑NOR053,1,52,重要外包
CT‑S‑NOR054,S‑NOR054,1,52,重要外包
CT‑S‑NOR055,S‑NOR055,1,52,重要外包
CT‑S‑NOR056,S‑NOR056,1,52,一般外包
CT‑S‑NOR057,S‑NOR057,1,52,一般外包
CT‑S‑NOR058,S‑NOR058,1,52,重要外包
CT‑S‑NOR059,S‑NOR059,1,52,重要外包
CT‑S‑NOR060,S‑NOR060,1,52,一般外包
CT‑S‑NOR061,S‑NOR061,1,52,重要外包
CT‑S‑NOR062,S‑NOR062,1,52,重要外包
CT‑S‑NOR063,S‑NOR063,1,52,重要外包
CT‑S‑NOR064,S‑NOR064,1,52,一般外包
CT‑S‑NOR065,S‑NOR065,1,52,重要外包
CT‑S‑NOR066,S‑NOR066,1,52,一般外包
CT‑S‑NOR067,S‑NOR067,1,52,重要外包
CT‑S‑NOR068,S‑NOR068,1,52,重要外包
CT‑S‑NOR069,S‑NOR069,1,52,重要外包
CT‑S‑NOR070,S‑NOR070,1,52,重要外包
CT‑S‑NOR071,S‑NOR071,1,52,重要外包
CT‑S‑NOR072,S‑NOR072,1,52,重要外包
CT‑S‑NOR073,S‑NOR073,1,52,一般外包
CT‑S‑NOR074,S‑NOR074,1,52,重要外包
CT‑S‑NOR075,S‑NOR075,1,52,重要外包
CT‑S‑NOR076,S‑NOR076,1,52,重要外包
CT‑S‑NOR077,S‑NOR077,1,52,重要外包
CT‑S‑NOR078,S‑NOR078,1,52,重要外包
CT‑S‑NOR079,S‑NOR079,1,52,重要外包
CT‑S‑NOR080,S‑NOR080,1,52,重要外包
CT‑S‑NOR081,S‑NOR081,1,52,一般外包
CT‑S‑NOR082,S‑NOR082,1,52,重要外包
CT‑S‑NOR083,S‑NOR083,1,52,一般外包
CT‑S‑NOR084,S‑NOR084,1,52,重要外包
CT‑S‑NOR085,S‑NOR085,1,52,重要外包
CT‑S‑NOR086,S‑NOR086,1,52,重要外包
CT‑S‑NOR087,S‑NOR087,1,52,一般外包
CT‑S‑NOR088,S‑NOR088,1,52,一般外包
CT‑S‑NOR089,S‑NOR089,1,52,重要外包
CT‑S‑NOR090,S‑NOR090,1,52,重要外包
CT‑S‑NOR091,S‑NOR091,1,52,重要外包
CT‑S‑NOR092,S‑NOR092,1,52,重要外包
CT‑S‑NOR093,S‑NOR093,1,52,重要外包
CT‑S‑NOR094,S‑NOR094,1,52,一般外包
CT‑S‑NOR095,S‑NOR095,1,52,重要外包
CT‑S‑NOR096,S‑NOR096,1,52,一般外包
CT‑S‑NOR097,S‑NOR097,1,52,一般外包
CT‑S‑NOR098,S‑NOR098,1,52,重要外包
CT‑S‑NOR099,S‑NOR099,1,52,一般外包
CT‑S‑NOR100,S‑NOR100,1,52,重要外包
CT‑S‑NOR101,S‑NOR101,1,52,一般外包
CT‑S‑NOR102,S‑NOR102,1,52,重要外包
CT‑S‑NOR103,S‑NOR103,1,52,重要外包
CT‑S‑NOR104,S‑NOR104,1,52,重要外包
CT‑S‑NOR105,S‑NOR105,1,52,一般外包
CT‑S‑NOR106,S‑NOR106,1,52,重要外包
CT‑S‑NOR107,S‑NOR107,1,52,一般外包
CT‑S‑NOR108,S‑NOR108,1,52,重要外包
CT‑S‑NOR109,S‑NOR109,1,52,一般外包
CT‑S‑NOR110,S‑NOR110,1,52,重要外包
CT‑S‑ACC111,S‑ACC111,1,52,一般外包
CT‑S‑ACC112,S‑ACC112,1,52,一般外包
CT‑S‑ACC113,S‑ACC113,1,52,一般外包
CT‑S‑ACC114,S‑ACC114,1,52,重要外包
CT‑S‑ACC115,S‑ACC115,1,52,重要外包
CT‑S‑ACC116,S‑ACC116,1,52,一般外包
CT‑S‑ACC117,S‑ACC117,1,52,重要外包
CT‑S‑ACC118,S‑ACC118,1,52,一般外包
CT‑S‑ACC119,S‑ACC119,1,52,一般外包
CT‑S‑ACC120,S‑ACC120,1,52,一般外包
CT‑S‑ACC121,S‑ACC121,1,52,重要外包
CT‑S‑ACC122,S‑ACC122,1,52,重要外包
CT‑S‑ACC123,S‑ACC123,1,52,一般外包
CT‑S‑ACC124,S‑ACC124,1,52,重要外包
CT‑S‑ACC125,S‑ACC125,1,52,一般外包
CT‑S‑ACC126,S‑ACC126,1,52,一般外包
CT‑S‑ACC127,S‑ACC127,1,52,一般外包
CT‑S‑ACC128,S‑ACC128,1,52,重要外包
CT‑S‑ACC129,S‑ACC129,1,52,重要外包
CT‑S‑ACC130,S‑ACC130,1,52,重要外包
CT‑S‑ACC131,S‑ACC131,1,52,重要外包
CT‑S‑ACC132,S‑ACC132,1,52,重要外包
CT‑S‑ACC133,S‑ACC133,1,52,重要外包
CT‑S‑ACC134,S‑ACC134,1,52,重要外包
CT‑S‑ACC135,S‑ACC135,1,52,一般外包
CT‑S‑ACC136,S‑ACC136,1,52,一般外包
CT‑S‑ACC137,S‑ACC137,1,52,重要外包
CT‑S‑ACC138,S‑ACC138,1,52,一般外包
CT‑S‑ACC139,S‑ACC139,1,52,一般外包
CT‑S‑ACC140,S‑ACC140,1,52,重要外包
CT‑S‑ACC141,S‑ACC141,1,52,重要外包
CT‑S‑ACC142,S‑ACC142,1,52,一般外包
CT‑S‑ACC143,S‑ACC143,1,52,重要外包
CT‑S‑ACC144,S‑ACC144,1,52,一般外包
CT‑S‑ACC145,S‑ACC145,1,52,重要外包
CT‑S‑ACC146,S‑ACC146,1,52,重要外包
CT‑S‑ACC147,S‑ACC147,1,52,重要外包
CT‑S‑ACC148,S‑ACC148,1,52,一般外包
CT‑S‑ACC149,S‑ACC149,1,52,一般外包
CT‑S‑ACC150,S‑ACC150,1,52,重要外包
CT‑S‑ACC151,S‑ACC151,1,52,一般外包
CT‑S‑ACC152,S‑ACC152,1,52,重要外包
CT‑S‑ACC153,S‑ACC153,1,52,一般外包
CT‑S‑ACC154,S‑ACC154,1,52,重要外包
CT‑S‑ACC155,S‑ACC155,1,52,一般外包
CT‑S‑ACC156,S‑ACC156,1,52,重要外包
CT‑S‑ACC157,S‑ACC157,1,52,重要外包
CT‑S‑ACC158,S‑ACC158,1,52,重要外包
CT‑S‑ACC159,S‑ACC159,1,52,重要外包
CT‑S‑ACC160,S‑ACC160,1,52,重要外包
CT‑S‑SUD161,S‑SUD161,1,52,重要外包
CT‑S‑SUD162,S‑SUD162,1,52,一般外包
CT‑S‑SUD163,S‑SUD163,1,52,重要外包
CT‑S‑SUD164,S‑SUD164,1,52,重要外包
CT‑S‑SUD165,S‑SUD165,1,52,一般外包
CT‑S‑SUD166,S‑SUD166,1,52,一般外包
CT‑S‑SUD167,S‑SUD167,1,52,一般外包
CT‑S‑SUD168,S‑SUD168,1,52,重要外包
CT‑S‑SUD169,S‑SUD169,1,52,一般外包
CT‑S‑SUD170,S‑SUD170,1,52,重要外包
CT‑S‑SUD171,S‑SUD171,1,52,重要外包
CT‑S‑SUD172,S‑SUD172,1,52,重要外包
CT‑S‑SUD173,S‑SUD173,1,52,重要外包
CT‑S‑SUD174,S‑SUD174,1,52,重要外包
CT‑S‑SUD175,S‑SUD175,1,52,重要外包
CT‑S‑SUD176,S‑SUD176,1,52,重要外包
CT‑S‑SUD177,S‑SUD177,1,52,一般外包
CT‑S‑SUD178,S‑SUD178,1,52,一般外包
CT‑S‑SUD179,S‑SUD179,1,52,重要外包
CT‑S‑SUD180,S‑SUD180,1,52,重要外包
CT‑S‑REC181,S‑REC181,1,52,重要外包
CT‑S‑REC182,S‑REC182,1,52,重要外包
CT‑S‑REC183,S‑REC183,1,52,重要外包
CT‑S‑REC184,S‑REC184,1,52,重要外包
CT‑S‑REC185,S‑REC185,1,52,一般外包
CT‑S‑REC186,S‑REC186,1,52,重要外包
CT‑S‑REC187,S‑REC187,1,52,重要外包
CT‑S‑REC188,S‑REC188,1,52,一般外包
CT‑S‑REC189,S‑REC189,1,52,重要外包
CT‑S‑REC190,S‑REC190,1,52,重要外包
CT‑S‑REC191,S‑REC191,1,52,重要外包
CT‑S‑REC192,S‑REC192,1,52,重要外包
CT‑S‑REC193,S‑REC193,1,52,一般外包
CT‑S‑REC194,S‑REC194,1,52,重要外包
CT‑S‑REC195,S‑REC195,1,52,重要外包
CT‑S‑REC196,S‑REC196,1,52,重要外包
CT‑S‑REC197,S‑REC197,1,52,一般外包
CT‑S‑REC198,S‑REC198,1,52,一般外包
CT‑S‑REC199,S‑REC199,1,52,重要外包
CT‑S‑REC200,S‑REC200,1,52,重要外包
