rectify_id,supplier_id,start_week,end_week
R‑S‑SUD161,S‑SUD161,43,52
R‑S‑SUD162,S‑SUD162,40,49
R‑S‑SUD163,S‑SUD163,39,48
R‑S‑SUD164,S‑SUD164,34,43
R‑S‑SUD165,S‑SUD165,28,37
R‑S‑SUD166,S‑SUD166,43,52
R‑S‑SUD167,S‑SUD167,43,52
R‑S‑SUD168,S‑SUD168,31,40
R‑S‑SUD169,S‑SUD169,36,45
R‑S‑SUD170,S‑SUD170,33,42
R‑S‑SUD171,S‑SUD171,42,51
R‑S‑SUD172,S‑SUD172,29,38
R‑S‑SUD173,S‑SUD173,29,38
R‑S‑SUD174,S‑SUD174,32,41
R‑S‑SUD175,S‑SUD175,40,49
R‑S‑SUD176,S‑SUD176,26,35
R‑S‑SUD177,S‑SUD177,33,42
R‑S‑SUD178,S‑SUD178,40,49
R‑S‑SUD179,S‑SUD179,39,48
R‑S‑SUD180,S‑SUD180,40,49
R‑S‑REC181,S‑REC181,21,33
R‑S‑REC182,S‑REC182,27,39
R‑S‑REC183,S‑REC183,23,35
R‑S‑REC184,S‑REC184,22,34
R‑S‑REC185,S‑REC185,27,39
R‑S‑REC186,S‑REC186,23,35
R‑S‑REC187,S‑REC187,28,40
R‑S‑REC188,S‑REC188,28,40
R‑S‑REC189,S‑REC189,22,34
R‑S‑REC190,S‑REC190,26,38
R‑S‑REC191,S‑REC191,27,39
R‑S‑REC192,S‑REC192,28,40
R‑S‑REC193,S‑REC193,26,38
R‑S‑REC194,S‑REC194,20,32
R‑S‑REC195,S‑REC195,23,35
R‑S‑REC196,S‑REC196,24,36
R‑S‑REC197,S‑REC197,24,36
R‑S‑REC198,S‑REC198,25,37
R‑S‑REC199,S‑REC199,21,33
R‑S‑REC200,S‑REC200,26,38
