evidence_id,supplier_id,event_category,event_subtype,event_severity,event_week,source_type
E‑S‑NOR001‑1,S‑NOR001,人员,核心人员离职,1,49,人力台账
E‑S‑NOR001‑2,S‑NOR001,舆情,网络负面舆情,2,39,内部巡检
E‑S‑NOR002‑1,S‑NOR002,合规,监管问询,2,47,ITSM记录
E‑S‑NOR003‑1,S‑NOR003,舆情,行业投诉曝光,2,23,ITSM记录
E‑S‑NOR003‑2,S‑NOR003,人员,团队人员流失,1,8,监管公示
E‑S‑NOR004‑1,S‑NOR004,履约,批次交付延迟,1,36,监管公示
E‑S‑NOR004‑2,S‑NOR004,履约,运维故障,2,42,安全公告
E‑S‑NOR004‑3,S‑NOR004,人员,关键岗位变动,1,6,人力台账
E‑S‑NOR005‑1,S‑NOR005,履约,批次交付延迟,2,19,人力台账
E‑S‑NOR005‑2,S‑NOR005,安全,权限违规,2,25,ITSM记录
E‑S‑NOR006‑1,S‑NOR006,合规,合规巡检不通过,1,17,监管公示
E‑S‑NOR006‑2,S‑NOR006,经营,经营亏损,1,42,人力台账
E‑S‑NOR007‑1,S‑NOR007,履约,运维故障,2,27,内部巡检
E‑S‑NOR007‑2,S‑NOR007,人员,关键岗位变动,2,47,ITSM记录
E‑S‑NOR008‑1,S‑NOR008,安全,权限违规,2,17,人力台账
E‑S‑NOR008‑2,S‑NOR008,合规,行政处罚,2,39,工商公示
E‑S‑NOR009‑1,S‑NOR009,履约,项目延期,1,9,人力台账
E‑S‑NOR009‑2,S‑NOR009,人员,关键岗位变动,1,29,监管公示
E‑S‑NOR009‑3,S‑NOR009,经营,业务收缩,2,35,安全公告
E‑S‑NOR009‑4,S‑NOR009,履约,项目延期,2,45,人力台账
E‑S‑NOR010‑1,S‑NOR010,经营,股权变更,2,48,安全公告
E‑S‑NOR010‑2,S‑NOR010,人员,关键岗位变动,2,8,人力台账
E‑S‑NOR011‑1,S‑NOR011,人员,关键岗位变动,1,35,安全公告
E‑S‑NOR011‑2,S‑NOR011,安全,内网安全告警,1,3,工商公示
E‑S‑NOR011‑3,S‑NOR011,安全,权限违规,1,5,安全公告
E‑S‑NOR012‑1,S‑NOR012,合规,监管问询,2,10,安全公告
E‑S‑NOR013‑1,S‑NOR013,合规,合规巡检不通过,1,46,人力台账
E‑S‑NOR013‑2,S‑NOR013,安全,内网安全告警,2,44,监管公示
E‑S‑NOR014‑1,S‑NOR014,履约,运维故障,1,3,安全公告
E‑S‑NOR014‑2,S‑NOR014,人员,核心人员离职,1,6,ITSM记录
E‑S‑NOR015‑1,S‑NOR015,合规,监管问询,2,19,ITSM记录
E‑S‑NOR016‑1,S‑NOR016,经营,业务收缩,1,14,内部巡检
E‑S‑NOR016‑2,S‑NOR016,舆情,行业投诉曝光,2,24,监管公示
E‑S‑NOR017‑1,S‑NOR017,履约,批次交付延迟,2,48,内部巡检
E‑S‑NOR018‑1,S‑NOR018,经营,股东变动,2,19,ITSM记录
E‑S‑NOR018‑2,S‑NOR018,履约,批次交付延迟,1,37,内部巡检
E‑S‑NOR019‑1,S‑NOR019,人员,核心人员离职,2,28,监管公示
E‑S‑NOR020‑1,S‑NOR020,经营,股权变更,2,26,监管公示
E‑S‑NOR020‑2,S‑NOR020,安全,内网安全告警,2,46,ITSM记录
E‑S‑NOR021‑1,S‑NOR021,舆情,行业投诉曝光,1,5,安全公告
E‑S‑NOR022‑1,S‑NOR022,合规,监管问询,1,13,安全公告
E‑S‑NOR023‑1,S‑NOR023,履约,交付质量不达标,1,39,安全公告
E‑S‑NOR023‑2,S‑NOR023,履约,批次交付延迟,2,44,工商公示
E‑S‑NOR023‑3,S‑NOR023,人员,关键岗位变动,2,47,ITSM记录
E‑S‑NOR023‑4,S‑NOR023,安全,内网安全告警,2,10,监管公示
E‑S‑NOR024‑1,S‑NOR024,经营,股权变更,1,6,安全公告
E‑S‑NOR025‑1,S‑NOR025,人员,团队人员流失,1,20,监管公示
E‑S‑NOR026‑1,S‑NOR026,舆情,网络负面舆情,2,10,内部巡检
E‑S‑NOR026‑2,S‑NOR026,履约,交付质量不达标,2,19,安全公告
E‑S‑NOR026‑3,S‑NOR026,人员,关键岗位变动,1,23,人力台账
E‑S‑NOR027‑1,S‑NOR027,履约,项目延期,2,42,工商公示
E‑S‑NOR027‑2,S‑NOR027,履约,项目延期,1,23,人力台账
E‑S‑NOR027‑3,S‑NOR027,安全,权限违规,2,49,安全公告
E‑S‑NOR028‑1,S‑NOR028,履约,交付质量不达标,1,36,工商公示
E‑S‑NOR029‑1,S‑NOR029,履约,运维故障,1,25,工商公示
