supplier_id,name,importance_level
S‑NOR001,NOR服务商001,一般
S‑NOR002,NOR服务商002,重要
S‑NOR003,NOR服务商003,重要
S‑NOR004,NOR服务商004,重要
S‑NOR005,NOR服务商005,重要
S‑NOR006,NOR服务商006,一般
S‑NOR007,NOR服务商007,重要
S‑NOR008,NOR服务商008,一般
S‑NOR009,NOR服务商009,重要
S‑NOR010,NOR服务商010,重要
S‑NOR011,NOR服务商011,一般
S‑NOR012,NOR服务商012,重要
S‑NOR013,NOR服务商013,重要
S‑NOR014,NOR服务商014,一般
S‑NOR015,NOR服务商015,重要
S‑NOR016,NOR服务商016,一般
S‑NOR017,NOR服务商017,重要
S‑NOR018,NOR服务商018,重要
S‑NOR019,NOR服务商019,一般
S‑NOR020,NOR服务商020,重要
S‑NOR021,NOR服务商021,重要
S‑NOR022,NOR服务商022,重要
S‑NOR023,NOR服务商023,重要
S‑NOR024,NOR服务商024,重要
S‑NOR025,NOR服务商025,重要
S‑NOR026,NOR服务商026,一般
S‑NOR027,NOR服务商027,一般
S‑NOR028,NOR服务商028,一般
S‑NOR029,NOR服务商029,一般
S‑NOR030,NOR服务商030,一般
S‑NOR031,NOR服务商031,一般
S‑NOR032,NOR服务商032,重要
S‑NOR033,NOR服务商033,一般
S‑NOR034,NOR服务商034,重要
S‑NOR035,NOR服务商035,重要
S‑NOR036,NOR服务商036,一般
S‑NOR037,NOR服务商037,重要
S‑NOR038,NOR服务商038,一般
S‑NOR039,NOR服务商039,重要
S‑NOR040,NOR服务商040,重要
S‑NOR041,NOR服务商041,一般
S‑NOR042,NOR服务商042,重要
S‑NOR043,NOR服务商043,重要
S‑NOR044,NOR服务商044,重要
S‑NOR045,NOR服务商045,重要
S‑NOR046,NOR服务商046,一般
S‑NOR047,NOR服务商047,重要
S‑NOR048,NOR服务商048,一般
S‑NOR049,NOR服务商049,一般
S‑NOR050,NOR服务商050,重要
S‑NOR051,NOR服务商051,重要
S‑NOR052,NOR服务商052,重要
S‑NOR053,NOR服务商053,重要
S‑NOR054,NOR服务商054,重要
S‑NOR055,NOR服务商055,重要
S‑NOR056,NOR服务商056,一般
S‑NOR057,NOR服务商057,一般
S‑NOR058,NOR服务商058,重要
S‑NOR059,NOR服务商059,重要
S‑NOR060,NOR服务商060,一般
S‑NOR061,NOR服务商061,重要
S‑NOR062,NOR服务商062,重要
S‑NOR063,NOR服务商063,重要
S‑NOR064,NOR服务商064,一般
S‑NOR065,NOR服务商065,重要
S‑NOR066,NOR服务商066,一般
S‑NOR067,NOR服务商067,重要
S‑NOR068,NOR服务商068,重要
S‑NOR069,NOR服务商069,重要
S‑NOR070,NOR服务商070,重要
S‑NOR071,NOR服务商071,重要
S‑NOR072,NOR服务商072,重要
S‑NOR073,NOR服务商073,一般
S‑NOR074,NOR服务商074,重要
S‑NOR075,NOR服务商075,重要
S‑NOR076,NOR服务商076,重要
S‑NOR077,NOR服务商077,重要
S‑NOR078,NOR服务商078,重要
S‑NOR079,NOR服务商079,重要
S‑NOR080,NOR服务商080,重要
S‑NOR081,NOR服务商081,一般
S‑NOR082,NOR服务商082,重要
S‑NOR083,NOR服务商083,一般
S‑NOR084,NOR服务商084,重要
S‑NOR085,NOR服务商085,重要
S‑NOR086,NOR服务商086,重要
S‑NOR087,NOR服务商087,一般
S‑NOR088,NOR服务商088,一般
S‑NOR089,NOR服务商089,重要
S‑NOR090,NOR服务商090,重要
S‑NOR091,NOR服务商091,重要
S‑NOR092,NOR服务商092,重要
S‑NOR093,NOR服务商093,重要
S‑NOR094,NOR服务商094,一般
S‑NOR095,NOR服务商095,重要
S‑NOR096,NOR服务商096,一般
S‑NOR097,NOR服务商097,一般
S‑NOR098,NOR服务商098,重要
S‑NOR099,NOR服务商099,一般
S‑NOR100,NOR服务商100,重要
S‑NOR101,NOR服务商101,一般
S‑NOR102,NOR服务商102,重要
S‑NOR103,NOR服务商103,重要
S‑NOR104,NOR服务商104,重要
S‑NOR105,NOR服务商105,一般
S‑NOR106,NOR服务商106,重要
S‑NOR107,NOR服务商107,一般
S‑NOR108,NOR服务商108,重要
S‑NOR109,NOR服务商109,一般
S‑NOR110,NOR服务商110,重要
S‑ACC111,ACC服务商111,一般
S‑ACC112,ACC服务商112,一般
S‑ACC113,ACC服务商113,一般
S‑ACC114,ACC服务商114,重要
S‑ACC115,ACC服务商115,重要
S‑ACC116,ACC服务商116,一般
S‑ACC117,ACC服务商117,重要
S‑ACC118,ACC服务商118,一般
S‑ACC119,ACC服务商119,一般
S‑ACC120,ACC服务商120,一般
S‑ACC121,ACC服务商121,重要
S‑ACC122,ACC服务商122,重要
S‑ACC123,ACC服务商123,一般
S‑ACC124,ACC服务商124,重要
S‑ACC125,ACC服务商125,一般
S‑ACC126,ACC服务商126,一般
S‑ACC127,ACC服务商127,一般
S‑ACC128,ACC服务商128,重要
S‑ACC129,ACC服务商129,重要
S‑ACC130,ACC服务商130,重要
S‑ACC131,ACC服务商131,重要
S‑ACC132,ACC服务商132,重要
S‑ACC133,ACC服务商133,重要
S‑ACC134,ACC服务商134,重要
S‑ACC135,ACC服务商135,一般
S‑ACC136,ACC服务商136,一般
S‑ACC137,ACC服务商137,重要
S‑ACC138,ACC服务商138,一般
S‑ACC139,ACC服务商139,一般
S‑ACC140,ACC服务商140,重要
S‑ACC141,ACC服务商141,重要
S‑ACC142,ACC服务商142,一般
S‑ACC143,ACC服务商143,重要
S‑ACC144,ACC服务商144,一般
S‑ACC145,ACC服务商145,重要
S‑ACC146,ACC服务商146,重要
S‑ACC147,ACC服务商147,重要
S‑ACC148,ACC服务商148,一般
S‑ACC149,ACC服务商149,一般
S‑ACC150,ACC服务商150,重要
S‑ACC151,ACC服务商151,一般
S‑ACC152,ACC服务商152,重要
