supplier_id,week,event_count,risk_score,has_rectify,business_exposure,upgrade_label
S‑NOR001,1,0,0.0,False,0.24,0
S‑NOR001,2,0,0.0,False,0.24,0
S‑NOR001,3,0,0.0,False,0.24,0
S‑NOR001,4,0,0.0,False,0.24,0
S‑NOR001,5,0,0.0,False,0.24,0
S‑NOR001,6,0,0.0,False,0.24,0
S‑NOR001,7,0,0.0,False,0.24,0
S‑NOR001,8,0,0.0,False,0.24,0
S‑NOR001,9,0,0.0,False,0.24,0
S‑NOR001,10,0,0.0,False,0.24,0
S‑NOR001,11,0,0.0,False,0.24,0
S‑NOR001,12,0,0.0,False,0.24,0
S‑NOR001,13,0,0.0,False,0.24,0
S‑NOR001,14,0,0.0,False,0.24,0
S‑NOR001,15,0,0.0,False,0.24,0
S‑NOR001,16,0,0.0,False,0.24,0
S‑NOR001,17,0,0.0,False,0.24,0
S‑NOR001,18,0,0.0,False,0.24,0
S‑NOR001,19,0,0.0,False,0.24,0
S‑NOR001,20,0,0.0,False,0.24,0
S‑NOR001,21,0,0.0,False,0.24,0
S‑NOR001,22,0,0.0,False,0.24,0
S‑NOR001,23,0,0.0,False,0.24,0
S‑NOR001,24,0,0.0,False,0.24,0
S‑NOR001,25,0,0.0,False,0.24,0
S‑NOR001,26,0,0.0,False,0.24,0
S‑NOR001,27,0,0.0,False,0.24,0
S‑NOR001,28,0,0.0,False,0.24,0
S‑NOR001,29,0,0.0,False,0.24,0
S‑NOR001,30,0,0.0,False,0.24,0
S‑NOR001,31,0,0.0,False,0.24,0
S‑NOR001,32,0,0.0,False,0.24,0
S‑NOR001,33,0,0.0,False,0.24,0
S‑NOR001,34,0,0.0,False,0.24,0
S‑NOR001,35,0,0.0,False,0.24,0
S‑NOR001,36,0,0.0,False,0.24,0
S‑NOR001,37,0,0.0,False,0.24,0
S‑NOR001,38,0,0.0,False,0.24,0
S‑NOR001,39,1,2.0,False,0.24,0
S‑NOR001,40,0,2.0,False,0.24,0
S‑NOR001,41,0,2.0,False,0.24,0
S‑NOR001,42,0,2.0,False,0.24,0
S‑NOR001,43,0,2.0,False,0.24,0
S‑NOR001,44,0,2.0,False,0.24,0
S‑NOR001,45,0,2.0,False,0.24,0
S‑NOR001,46,0,2.0,False,0.24,0
S‑NOR001,47,0,2.0,False,0.24,0
